id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id,notes
f61651ec-44b6-4bdb-a6b4-e4c8295ed07c,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.031Z,"Da alama jam'iyyar APC da gwamnatinta a Najeriya, sun fara juyawa ministan Abuja, babban birnin tarayyar kasar, Nyesom Wike, baya sannan kuma sun jaddada goyon bayansu ga gwamnan jihar Rivers, Siminalayi Fubara, wanda bai dade da komawa jam'iyyar ta APC daga PDP ba.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
81ce2a4e-931c-485a-8db8-bb786f6ce69c,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.034Z,"Hakan ya fara nuna yadda ake neman raba gari da ministan, sakamakon yadda ake ta bayyana fargabar kar ya zame wa jam'iyyar APC da gwamnatinta wani babban alakakai a fagen siyasar jihar.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
29955951-43f5-44ee-b80a-08211557cace,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.035Z,"Tun ana gunaguni da nuna gundura ta hanyar balulluba ko a kaikaice, game da yadda aka soma gajiya da tafiya irin ta angulu da kan zabo da ake yi da ministan na Abuja, asali dan jam'iyyar PDP, da gwamnatin tarayya ta jam'iyyar APC, yanzu abin ya fara fitowa fili.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
da3bc81a-2d49-44c0-8c88-bcf61b02ea80,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.036Z,"Da sannu a hankali kusoshin jam'iyyar APC da mukarraban gwamnatinta suna ta jaddada rungumar dan lele wato gwamnan jihar Rivers, Siminalayi Fubara, tare da nuni cewa, shi ne babban jigon jam'iyyar a jihar.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
857c583d-71b2-44d8-b589-ab1b3d688c2b,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.037Z,"Bala Ibrahim, daraktan yada labarai na jam'iyyar APC na kasa, ya shaida wa BBC cewa idan aka dubi tsarin zababbu a jihar ta Rivers, Fubara shi ne gwamna, don haka shi ne jagoran jam'iyyar APC a Rivers.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
53b0080a-15fe-4ee2-b527-8c0fc74da12d,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.038Z,"Ya ce,"" Shi Wike ba dan jam'iyyar APC ba ne, kuma tun da ba dan jam'iyya ba ne ai ba yadda za a yi ya yi ruwa ya yi tsaki a cikin harkarmu ta jam'iyya.""",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
7751ecd5-2f90-40b3-ab17-eb27c8ec6a56,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.039Z,"Masana siyasa a Najeriya irinsu Farfesa Abubakar Umar Kari, da ke jami'ar Abuja, sun bayyana abin da wannan fifiko da ake nuna wa Fubara ke nufi inda ya ce abubuwa ne guda biyu.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
74910158-d5ed-4129-baf4-3076721440cf,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.040Z,""" Na farko shi ne gasgata zaton mutane da dama cewa 'ya'yan jam'iyyar APC fa ba sa jin dadin irin kutse da wasu abubuwa da Wike ke yi, inda har ma sun fara fitowa fili suna fada inda suke masa hannunka mai sanda kan cewa ba sa kaunarsa.""",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
6b8e2fd4-2532-477d-9d74-936312b3f15b,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.041Z,"""Na biyu kuma shi ne, kusan kullum tana fitowa fili cewa Wike na da babban zabi a gabansa, wato ko dai ya koma jam'iyyar APC, ko kuma ya ci gaba da zama a jam'iyyarsa ta PDP, amma kuma ya bar mukaminsa na minista.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
602ef41a-6456-42de-9216-9983d1bd2668,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.041Z,"Domin idan har ya ci gaba da kasancewa minista to za a ci gaba da kalubalantarsa."" In ji shi.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
717186a2-dd9d-4138-aeba-d4cef4b463b1,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cy9ygw9p1v2o,2026-01-25T09:06:09.042Z,"Yanzu dai bisa ga dukkan alamu, ministan Abuja, babban birnin tarayyar Najeriya, Nyesom Wike, yana cikin tsaka mai wuya a siyasance sakamakon yadda yake fama da rikici a jam'iyyarsa ta PDP, sannan kuma a jam'iyyar APC da yake yi wa aiki kuma, ana yi masa kallon wani sartse.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
0309d010-b90b-427e-9018-3dbdf40e6d7b,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.611Z,Wannan shafi ne da ke kawo mu ku labaran abubuwan da ke faruwa a Najeriya da sauran sassan duniya,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
bee222b3-8f9b-4bf2-9e77-cdf727c69df6,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.615Z,"An hana ƴan jarida a Tanzaniya halartar zaman kwamitin bincike kan rikicin da ya biyo bayan zaɓen shugaban ƙasa, yayin da waɗanda rikicin ya rutsa da su ke bayar da shaida.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
0b2f2686-45a5-4ad2-9164-7118041fd443,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.616Z,"Kwamitin da shugaba Samia Suluhu ta kafa, na gudanar da bincike a kan rikicin da nufin gano musabbabin sa da kuma ba da shawarar hanyoyin da za a bi wajen samar da sulhu a ƙasar.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
37abad87-8e88-493c-baa8-52ab81e91444,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.617Z,"An buɗe zaman farko ga manema labarai, kuma duka kafafen yaɗa labarai na gida da na waje sun ba da rahoto kan shaidar waɗanda abin ya shafa.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
785c9c3d-9cb8-4b51-a366-4239497639c5,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.618Z,Sai dai kuma ƴan jarida da wasu kafafen yaɗa labarai sun ce ba a ba su damar halartar tarukan da suka biyo biyo baya ba ranar Asabar.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
7aa9bf1f-cec0-4006-be47-4c3b74df3e7a,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.619Z,"A ranar Juma'ar da ta gabata, kafofin yaɗa labarai na cikin gida ne aka bai wa damar shiga zaman kwamitin a birnin Dar es Salaam.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
71a668d8-57cd-42be-a119-5e52e45c2558,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.620Z,"Wata sanarwa da wata jarida mai zaman kanta 'The Citizen' ta wallafa a shafukan sada zumunta ta ce an ba wa ƴan jarida damar yaɗa labaran zaman da aka yi ranar Juma’a, inda waɗanda abin ya shafa suka bayyana yadda al'amura suka gudana lokacin rikicin.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
76ac80c8-c88a-46ef-8c81-de68d634dd6a,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.621Z,Har yanzu ba a tabbatar da ko za a mai do da damar kafofin watsa labarai na shiga zama na gaba ba.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
51e2a5ec-d659-4db5-ba6d-fc36d705d156,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.621Z,Wata kafar yaɗa labaran Iran ta rawaito cewa gwamnatin ƙasar dawo da intanet din data ɗauke a sassan ƙasar.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
d9a686cb-2f4f-4180-87ac-873f862fde2e,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.622Z,Gwamnatin ta katse intanet ɗin ne a lokacin da aka fara zanga zangar nuna adawa da matakan gwamnati a faɗin ƙasar a ƙarshen watan da ya gabata.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
e1051e9d-4161-4d37-b524-bea18e1d230d,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.623Z,Jami'ai sun ce za a ɗauki tsawon lokaci kafin duka harkokin Intanet su daidai ta saboda wasu matsaloli na na'ura.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
b0f41d90-9529-403e-a799-81a336a1f751,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.624Z,Ɗaukewar intanet ɗin ya sa an gaza tabbatar da adadin mutanen da aka kashe a lokacin zanga zangar.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
0475a0ab-0978-427f-a81a-102b0ce03e1a,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.624Z,Wata ƙungiyar kare haƙƙin ɗan'adam da ke Amurka ta ce an kashe fiye da mutane dubu huɗu.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
a5fabe6e-c4c6-4c0a-9046-719b1e2dc053,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.625Z,Jami’an tsaro na gwamnatin tarayya a Amurka sun bindige wani mutum mai zanga-zanga a birnin Minneapolis ranar Asabar.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
3a06c550-8865-49c5-b2c9-88b717b60256,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.626Z,Wannan dai shi ne mutum na biyu da aka kashe a birnin tun lokacin da gwamnatin Trump ta ƙaddamar da wani yaƙi na musammman kan ƴan cirani a jihar ta Minnesota.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
b7e81ed6-5ccc-43e0-ade4-d410066bc8c5,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.627Z,"Jami’an yankin sun bayyana sunan mutumin a matsayin Alex Pretti mai shekaru 37, ɗan ƙasar Amurka ne kuma ma'aikacin jinya da ke zaune a Minneapolis.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
ef03a735-8384-4f77-b286-b86be7b168f8,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.627Z,Bidiyo da aka wallafa a shafukan intanet sun nuna yadda aka yi taho-mu-gama tsakanin jami'an tsaron kan iyaka da kuma mutumin.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
4bfc8f8c-c57d-409e-9a36-d258aa115e2c,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.628Z,"Ma’aikatar tsaron cikin gida (DHS) ta ce jami’an sun yi harbi ne domin kariyar kai bayan Pretti, wanda suka ce yana da riƙe da bindiga, ya bijirewa yunƙurinsu na ƙwace masa makamai.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
179500f7-7a44-47ae-ab75-043e7493a84e,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.629Z,"Lamarin, wanda ya zo makonni biyu bayan harbe Renee Nicole Good da wani jami’in shige-da-fice ya yi, ya haifar da ci gaban zanga-zanga tare da kiraye kiraye da shugabannin yankin cewa jami'an tsaron gwamnatin tarayya su fice daga birnin.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
b707ec87-8fdf-4bd9-8992-95749b4541c4,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.630Z,Masu bibiyar shafin BBC Hausa kai-tsaye barkanmu da safiyar wannan rana ta Lahadi.,media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
b8322ffe-b426-40da-aeef-730f70e24337,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c368rn00zxgt,2026-01-25T09:06:09.630Z,"Kamar kullum, yau ma za mu kawo muku abubuwan da ke faruwa a Najeriya da sauran sassan duniya.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
