sentence_id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,target_gender,bias_label,explicitness,stereotype_category,sentiment_toward_referent,device,qa_status,annotation_date,annotation_time_seconds,document_id,notes,review_notes,collector_id,annotator_id
69afc8197547e26ce3a70fa2,Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06T00:00:00.000Z,""" Hajjo tace ""yo ni daxu tare muka shigo gidan nan da ita, ita ce ma ta shigo min da kayana daga adai daita kuma tace min Ita 'yar wan Bilki ce, me ta maki?"" Kuka sosai Humainah ta fara ta durkushe gun tace ""Ita ce silar komai, ita ke xuwa gidana kullum",culture_and_religion,family relationship,public_interest,,safe,false,female,stereotype,implicit,daily_life,negative,narrative,accepted,2026-03-10T08:55:18.179Z,2631,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fa3,Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,Dole ne a ci gaba da yunƙurin miƙa mulki cikin lumana,governance_civic,political transition,public_interest,,safe,false,unknown,neutral,explicit,,positive,narrative,accepted,2026-03-10T08:58:17.644Z,2811,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fa4,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,Wannan shi yafi kowanne hadari daga cikin tasirin da wayar salula ke yi a tsakanin al'umma,media_and_online,mobile phone impacts,public_interest,,safe,false,unknown,stereotype,explicit,daily_life,negative,narrative,accepted,2026-03-10T09:00:15.651Z,2929,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fa6,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,Wayoyin salula na wannan zamani suna zuwa ne da tsarin kalato yanayin sadarwa guda biyu,media_and_online,Hausa communication systems,public_interest,,safe,false,neutral,neutral,explicit,,neutral,narrative,accepted,2026-03-10T09:03:55.351Z,3148,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fa9,Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,"Zahra ma'aikaciyar gidan talabijin ce sannan tana da aboki, Jazzy (Sadi Sawaba), wanda yake neman kuɗi ido-a-rufe don ya biya bashi",livelihoods_and_work,Zahra's job and friend,public_interest,,safe,false,mixed,stereotype,explicit,daily_life,negative,narrative,accepted,2026-03-10T09:09:44.072Z,3497,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fb3,Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,"Waɗanda suka haɗarda Kidusan Nega, tsohon kakakin yankin, da tsohon jakadan Habasha a Sudan Abadi Zemu, da Solomon Kidane da Teklewayini Assefa da Gebremedhin Tewolde, sai Woldegiorgis Desta da Tewodros Hagos da kuma Mihret Teklay",governance_civic,Hausa political figures,public_interest,,safe,false,male,neutral,explicit,,neutral,narrative,accepted,2026-03-10T10:00:43.920Z,212,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fb5,Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06T00:00:00.000Z,""" Screen d'in ya tsurawa ido har ya gama karanta text d'in snn ya ajiye wayar, indai Ahmad ne ya saba da halinshi na idc attitude, ajiye wayar yayi yaci gaba da abinda yakeyi, K'arfe take as Junaid ya fito, d'akin Humainah ya leqa yaga bata nan da alama toilet ta shiga, jan k'ofar yayi ya maida ya rufe ya sauk'o, kwance take k'asan tiles har ta gaji da kukan bacci ya soma d'aukarta, dab da ita ya k'araso ya k'urawa kyakkyawan fuskarta ido da Lashes d'inta suka kwanto kamar tayi fixing, sosai jikinshi yayi sanyi ganin har lokacin da d'an siririn hawaye shimfid'e a fuskan, a hankali yayi tapping jakarta da janyo ta mak'ale kamar wacce za a kwacewa yace ""Jewel"", a hankali ta bud'e idonta tana kallonshi, ya sunkuyo daidai fuskarta yace ""Wake up"", sai lokacin ta tashi da sauri tana k'are mishi kallo kamar yanzu ta soma ganinshi, tana son furta Uncle amma tana tsoro dan yayi warning d'inta da kada ta sake k'ira mishi wani Uncle, a hankali bakinta ke twitching hawaye na dad'a gangarowa idonta, ido ya rintse kawai ya kamo hannunta tareda janyota jikinshi ya rungume, ba shi ba har ita k'irjinta bugawa yakeyi, ido ta lumshe tana sauk'e ajjyar zuciya, cikin wata iriyar murya yace ""am sorry Jasmine"", itadai shiru kawai tayi tana sauraronshi, a hankali ya janyeta daga jikinshi ya d'ago hab'arta yace ""am sorry okay?"", yasa hannu ya share mata hawayen dake fuskarta, gaba d'ayanta yarinyar tausayi take bashi, mik'ewa yayi tareda kamo hannunta ya tayar da ita yace ""Kinyi Sallah?"", kai ta girgiza mishi yace ""kiyi min magana, don't nod"", a hankali tace ""banyi ba"", yace ""Shiga kiyi alwala, I will b here waiting for you"", ba musu tayi hanyan toilet d'in dake palo, saida taje bakin k'ofa snn ta sake juyowa taga ita yake kallo kamin ta shige toilet d'in, yana zaune ta fito ta d'auki hijab d'inta dake gefe ta saka, har ta idar da Sallah idonshi na kanta yana observing yanda take Sallahn, ta d'an jima zaune bayan ta idar snn ta kalleshi tace ""Av prayed, nace Allah ya bani lafiya"", kai ya kad'a yace ""that's good, kullum ki dinga yin haka kinji?"", tace ""toh"", ya mik'e yana maida wayarshi aljihu yace ""zaki rakani?"", kallonshi ta tsaya yi da manyan idonta kamar batasan mey yace ba saida yayi murmushi snn yace ""I mean would you like to go out with me?"" Har zatayi nodding kanta tayi maza tace ""Toh"", yace ""Good saka Hijabinki mu tafi"", tana gama sawa ta dubeshi da manyan milky eyes d'inta tace ""Shoe d'ina ban ganshi ba kuma nace na barwa waccan Aunty"", kallonta yayi kawai yace ""muje, we will buy another one"", lokaci lokaci yake juyowa ya kalleta yana driving, itakam kanta ta jingina jikin glass tana ta kallon garin, a Jifatu yayi parking, ce mata yayi ta zauna ta jirashi ya shiga ya gama siyayyan da zaiyi snn ya fito, takalmin da ya mik'a mata ta saka tana jin dad'i snn ya wuce dasu Royal Joint, a nan yayi musu order abinci suka wuce gida, hannunshi riqe da abincin da ya siyo ita kuma riqe da na shoe d'in da ya siya matan, suna shigowa gida daidai nan Humainah na sauk'owa kan bene, wani irin fad'uwa, da murna Jasmine ta kalli ledan shoes dake hannunta snn ta kalli Humainah dake tsaye tace ""Aunty kinga new Shoe d'ina da wannan Uncle d'in ya bani, he is nice, kema kice mishi kinaso ya baki"", Humainah dake tsaye gabanta na bugawa juyawa tayi ta koma d'aki, Jasmine ganin ta tafi yasa ta juyo da kallonta ga Junaid da yake kallon inda Humainah tabi, tace ""Aunty nan ma A siya mata irin shoe d'ina"", kallonta kawai yayi yace ""Jeki d'auko plate"", ledan da yake hannunta ta ajiye tayi kitchen, zaune ta tarar dashi yana danna waya, d'agowa yayi ya dubeta ganin ta tsaya mishi a ka yace ""Sit down and serve yourself the food"", zama tayi ta janyo leda d'aya ta bud'e ta shiga zuba fried rice d'in a plate ta fara ci, tashi yayi ya d'auki d'ayan ledan ya haura sama dashi, d'akin Humainah ya tura duk wutan d'akin kashe yake, kunnawa yayi ya k'arasa shigowa, a tsakiyan gadon ya ganta kwance ta dunqule waje d'aya, zama yayi bakin gadon bayan ya ajiye ledan hannunshi, sau biyu yana k'iranta yajita shiru, a hankali ya d'agota dan yasan ba bacci take ba, fuskarta da ya kumbura dan kuka ya k'urawa ido , hannu yasa ya shafi hawayen yana murzawa da d'an yatsanshi yace ""Sana'ar da kika samu kenan yanzu?"", turashi ta shiga yi daga jikinta, firmly ya riqeta, ganin ta kasa kwace kanta yasa ta fashewa da wani irin kuka tana sulalewa k'asa tace ""ni ka sakeni ka fitamin daga d'aki"", har ranshi yakejin kukan nata, d'agota ya sakeyi yace ""Humainah mey ke damunki wai for crying out Loud?, me kike so?"", shiru tayi mishi taqi cewa komai tana ci gaba da kukan, a hankali ta d'ago tana share hawayenta tace ""Ka maidani gidanmu, inason ganin Abba na"", wani irin kallo ya bita dashi *Captain Ahmad Junaid*?",household_and_care,Interaction between Ahmad and Junaid,public_interest,,safe,false,mixed,stereotype,explicit,family_role,negative,narrative,accepted,2026-03-10T10:11:24.740Z,34,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fc2,Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,"'Dogara Ya Dawo' - DAUDA ADAMU KAHUTU (RARARA)Asalin hoton, RararaFitaccen mawaƙin siyasa Dauda Adamu Kahutu (Rarara) ya yi waƙar 'Dogara Ya Dawo' ne bayan tsohon Kakakin Majalisar Tarayya, Honarabul Yakubu Dogara, ya koma jam'iyyar APC",media_and_online,Dauda Adamu Kahutu song 'Dogara Ya Dawo',public_interest,,safe,false,male,neutral,explicit,,positive,,accepted,2026-03-10T12:41:16.260Z,8204,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fc5,Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06T00:00:00.000Z,""" Mikewa tayi a rude tace ""Oh my God, Where is my farida",household_and_care,personal_item_missing,public_interest,,sensitive,false,female,neutral,explicit,,,,accepted,2026-03-10T12:45:35.714Z,8463,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
69afc8197547e26ce3a70fca,Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,"na farkonsu shi ne Angyu Katakpa (1596 – 1615), sai kuma na ƙarshe wanda har yanzu yake kai (Dr",culture_and_religion,Hausa historical figure,public_interest,,safe,false,male,neutral,implicit,,,,accepted,2026-03-10T12:52:43.501Z,8891,30e35419-3ab6-47b0-a888-ac033bb50711,,,69afc71a7547e26ce3a70f88,69afc71a7547e26ce3a70f88
